343,ARS,ID,station,lng,lat
343,24411,123000624,위례신안인스빌.중앙푸르지오,127.1436821,37.47515487
343,24337,123000637,서울위례별초교,127.1440284,37.47831593
343,24493,123000574,송파더센트레.송례초앞,127.1390057,37.47841055
343,24653,123000603,위례포레샤인.송파꿈에그린서문,127.1372838,37.47701928
343,24439,123000630,위례포레샤인.위례31단지후문,127.1334027,37.47460951
343,24442,123000639,장지역2번출구,127.1263889,37.47844946
343,24013,123000013,문정법조단지.건영아파트,127.1247015,37.48162043
343,24011,123000011,문정로데오거리입구,127.1213046,37.48834723
343,24363,123000272,가락시장.가락시장역,127.1171698,37.49438192
343,24390,123000299,가락1동주민센터,127.1098802,37.49623008
343,24389,123000298,가락시장.헬리오시티,127.1063216,37.49506327
343,23403,122000296,수서역KT수서지점,127.1000246,37.48841254
,23408,122000301,수서역,127.1018295,37.4868325
