bus,ARS,ID,station,lng,lat
301,24460,123000586,서울버스종점,127.1369279,37.48048152
301,24446,123000354,장지공영차고지,127.1359411,37.48048216
301,24448,123000356,아이코리아,127.1332897,37.48097477
301,24464,123000372,송파글마루도서관.버들어린이집,127.1316517,37.48159499
301,24463,123000371,송파파인타운3단지.한림예고,127.1328159,37.48498779
301,24454,123000362,장지동주민센터앞,127.1329248,37.48666862
301,24315,123000225,한림연예예술고교,127.1314438,37.48535009
301,24318,123000228,구송파세무서,127.1289602,37.4832183
301,24310,123000220,문덕초등학교.문정고등학교,127.1262622,37.48366606
301,24323,123000233,문정동푸르지오아파트,127.1270845,37.48718529
301,24325,123000235,문정동래미안아파트,127.1292044,37.49185419
301,24344,123000253,가락동미륭아파트,127.1282465,37.4926501
301,24343,123000252,가윤예식장,127.125271,37.49271861
301,24379,123000288,경찰병원.서울동부고용노동지청,127.1223205,37.49447643
301,24380,123000289,제일오피스텔,127.1198949,37.49311642
301,24363,123000272,가락시장.가락시장역,127.1171698,37.49438192
301,24007,123000007,송파역,127.1118578,37.50021978
301,24005,123000005,석촌역,127.1088655,37.50336388
301,24003,123000003,석촌호수.한솔병원,127.1057662,37.506765
301,24138,123000049,잠실역.롯데월드,127.097975,37.51283939
301,24139,123000050,잠실5단지,127.0939211,37.51216975
301,24141,123000052,잠실새내역.잠실2동주민센터,127.0872743,37.51170372
301,24142,123000053,잠실엘스아파트앞,127.0833909,37.5118776
301,24143,123000054,종합운동장사거리,127.0796923,37.51202716
301,24144,123000055,잠실종합운동장,127.0721337,37.51082611
301,23196,122000093,강남경찰서면허시험장,127.0659525,37.50976687
301,23197,122000094,삼성역7번출구,127.0625198,37.51033827
301,23192,122000089,봉은사역3번출구.삼성1파출소,127.0599463,37.51503593
301,23172,122000070,청담역.경기고교,127.0565165,37.52002279
301,23173,122000071,진흥아파트,127.0521193,37.51919735
301,23176,122000074,강남구청.강남세무서,127.0473904,37.51831422
301,23177,122000075,청담동래미안아파트,127.0428409,37.51750335
301,23178,122000076,강남구청역,127.0409445,37.51828467
301,23432,122000325,영동고교앞,127.0397718,37.52147547
301,23181,122000078,일지아트홀.압구정동노인복지센터,127.0395189,37.52434187
301,23158,122000056,한양아파트.압구정로데오역,127.0395277,37.52813746
301,23156,122000054,압구정파출소,127.0365188,37.52887293
301,23148,122000048,현대아파트,127.0305769,37.52844434
301,4155,103000056,금호역,127.0160786,37.5478314
301,2193,101000091,약수역4번출구.금호터널입구,127.0124236,37.55276596
301,2199,101000294,약수역1번출구,127.009602,37.55637304
301,2201,101000097,장충체육관앞,127.0077112,37.55840272
301,2203,101000099,장충동.동국대입구,127.0058094,37.56064722
301,2171,101000072,광희동,127.0075739,37.56508379
301,2174,101000075,동대문역사문화공원,127.0089802,37.56762557
301,1217,100000121,충신동,127.0062426,37.57440236
301,1277,100000179,이화동(이화장),127.0029997,37.5761872
301,1219,100000123,방송통신대.이화장,127.0022982,37.57812399
301,1220,100000124,혜화역.마로니에공원,127.0021325,37.58110688
301,1226,100000130,혜화동로터리,127.0008281,37.58572598
