bus,ARS,ID,station,lng,lat
362,24492,123000576,위례아이파크아파트앞,127.1411995,37.47586263
362,24493,123000574,송파더센트레.송례초앞,127.1390057,37.47841055
362,24653,123000603,위례포레샤인.송파꿈에그린서문,127.1372838,37.47701928
362,24439,123000630,위례포레샤인.위례31단지후문,127.1334027,37.47460951
362,24442,123000639,장지역2번출구,127.1263889,37.47844946
362,24013,123000013,문정법조단지.건영아파트,127.1247015,37.48162043
362,24011,123000011,문정로데오거리입구,127.1213046,37.48834723
362,24009,123000009,가락시장.가락시장역,127.1171666,37.49438544
362,24007,123000007,송파역,127.1118578,37.50021978
362,24005,123000005,석촌역,127.1088655,37.50336388
362,24003,123000003,석촌호수.한솔병원,127.1057662,37.506765
362,24138,123000049,잠실역.롯데월드,127.097975,37.51283939
362,24139,123000050,잠실5단지,127.0939211,37.51216975
362,24141,123000052,잠실새내역.잠실2동주민센터,127.0872743,37.51170372
362,24142,123000053,잠실엘스아파트앞,127.0833909,37.5118776
362,24143,123000054,종합운동장사거리,127.0796923,37.51202716
362,24144,123000055,잠실종합운동장,127.0721337,37.51082611
362,23196,122000093,강남경찰서면허시험장,127.0659525,37.50976687
362,23197,122000094,삼성역7번출구,127.0625198,37.51033827
362,23192,122000089,봉은사역3번출구.삼성1파출소,127.0599463,37.51503593
362,23188,122000085,청담역.경기고교,127.0577252,37.519113
362,23171,122000069,우리은행청담지점.청담삼익아파트,127.056698,37.52097906
362,23166,122000064,프리마호텔,127.0494492,37.52458315
362,23165,122000063,청담초등학교,127.0450602,37.52666225
362,23158,122000056,한양아파트.압구정로데오역,127.0395277,37.52813746
362,23156,122000054,압구정파출소,127.0365188,37.52887293
362,23148,122000048,현대아파트,127.0305769,37.52844434
362,23104,122000004,광림교회.현대고등학교,127.024444,37.5252724
362,23102,122000002,신사중학교,127.0210868,37.52348668
362,22176,121000100,신반포18차아파트,127.0144289,37.51999528
362,22204,121000128,잠원한신아파트,127.0100772,37.51673713
362,22205,121000129,잠원성당.아크로리버뷰아파트,127.0069218,37.51368173
362,22207,121000131,뉴코아아울렛,127.0078725,37.50924761
362,22019,121000019,고속터미널,127.0052627,37.50633499
362,22021,121000021,신반포역.세화여중고,126.9958083,37.50345516
362,22023,121000023,구반포역.세화고등학교,126.989993,37.50204341
362,20134,119000041,동작역.국립현충원,126.9765396,37.50311662
362,20131,119000038,흑석동한강현대아파트,126.9717439,37.50583855
362,20130,119000037,비계,126.9685796,37.50642871
362,20127,119000034,흑석역.명수대현대아파트,126.9655774,37.50756328
362,20124,119000031,흑석동효사정앞,126.9611832,37.51152317
362,20249,119000291,대방역.여의교앞,126.9273337,37.51470779
362,19153,118000068,샛강역1번출구.여의도자이,126.9271112,37.51875284
362,19156,118000071,여의도역,126.924659,37.52144944
362,19133,118000048,국회의사당역,126.9176121,37.52822819
