time,bus,passenger
0,New1,3451
0,bus103,0
0,bus106,432
0,bus107,125
0,bus109,42
0,bus140,58
0,bus150,8
0,bus151,51
0,bus160,59
0,bus710,11
1,New1,419
1,bus103,0
1,bus106,0
1,bus107,0
1,bus109,0
1,bus140,0
1,bus150,0
1,bus151,0
1,bus160,0
1,bus710,0
2,New1,1
2,bus103,0
2,bus106,0
2,bus107,0
2,bus109,0
2,bus140,0
2,bus150,0
2,bus151,0
2,bus160,0
2,bus710,0
3,New1,0
3,bus103,0
3,bus106,0
3,bus107,0
3,bus109,0
3,bus140,0
3,bus150,0
3,bus151,0
3,bus160,0
3,bus710,0
4,New1,6822
4,bus103,1713
4,bus106,234
4,bus107,2
4,bus109,2122
4,bus140,6310
4,bus150,8259
4,bus151,7384
4,bus160,7898
4,bus710,4462
5,New1,9382
5,bus103,4525
5,bus106,2202
5,bus107,1062
5,bus109,3851
5,bus140,8262
5,bus150,7640
5,bus151,7808
5,bus160,8638
5,bus710,6204
6,New1,18230
6,bus103,6454
6,bus106,2632
6,bus107,2063
6,bus109,5457
6,bus140,11880
6,bus150,9978
6,bus151,10722
6,bus160,15186
6,bus710,3378
7,New1,44005
7,bus103,12503
7,bus106,5064
7,bus107,5907
7,bus109,10360
7,bus140,23767
7,bus150,22886
7,bus151,21653
7,bus160,33213
7,bus710,7879
8,New1,53977
8,bus103,16453
8,bus106,7068
8,bus107,8707
8,bus109,11815
8,bus140,30968
8,bus150,30866
8,bus151,24511
8,bus160,41851
8,bus710,9622
9,New1,36252
9,bus103,11700
9,bus106,4771
9,bus107,5230
9,bus109,7388
9,bus140,18853
9,bus150,17767
9,bus151,16888
9,bus160,24882
9,bus710,6201
10,New1,27795
10,bus103,9155
10,bus106,3852
10,bus107,3365
10,bus109,5443
10,bus140,12789
10,bus150,12933
10,bus151,13321
10,bus160,17648
10,bus710,4884
11,New1,28537
11,bus103,8486
11,bus106,3426
11,bus107,3238
11,bus109,5614
11,bus140,11921
11,bus150,13425
11,bus151,12999
11,bus160,18343
11,bus710,5722
12,New1,33869
12,bus103,9486
12,bus106,3087
12,bus107,3571
12,bus109,6528
12,bus140,13313
12,bus150,14263
12,bus151,15389
12,bus160,19919
12,bus710,6322
13,New1,35350
13,bus103,9700
13,bus106,3171
13,bus107,4121
13,bus109,7030
13,bus140,14247
13,bus150,15940
13,bus151,15470
13,bus160,21246
13,bus710,6531
14,New1,35592
14,bus103,9268
14,bus106,3562
14,bus107,4126
14,bus109,7367
14,bus140,13263
14,bus150,17290
14,bus151,15307
14,bus160,22375
14,bus710,6774
15,New1,40522
15,bus103,8764
15,bus106,4056
15,bus107,4568
15,bus109,7260
15,bus140,14639
15,bus150,20101
15,bus151,16000
15,bus160,26416
15,bus710,7538
16,New1,46546
16,bus103,9473
16,bus106,4431
16,bus107,4876
16,bus109,7281
16,bus140,15453
16,bus150,23696
16,bus151,17936
16,bus160,30702
16,bus710,9260
17,New1,48026
17,bus103,8988
17,bus106,5246
17,bus107,5725
17,bus109,8071
17,bus140,17059
17,bus150,27604
17,bus151,19108
17,bus160,32366
17,bus710,11186
18,New1,56894
18,bus103,9495
18,bus106,5918
18,bus107,6675
18,bus109,8655
18,bus140,19146
18,bus150,34441
18,bus151,17370
18,bus160,36543
18,bus710,13121
19,New1,39036
19,bus103,5570
19,bus106,3726
19,bus107,4123
19,bus109,5657
19,bus140,12781
19,bus150,21517
19,bus151,10846
19,bus160,24272
19,bus710,7258
20,New1,30665
20,bus103,4052
20,bus106,2993
20,bus107,2552
20,bus109,4324
20,bus140,9151
20,bus150,14749
20,bus151,8427
20,bus160,19497
20,bus710,5517
21,New1,27831
21,bus103,3541
21,bus106,2560
21,bus107,3014
21,bus109,4124
21,bus140,8628
21,bus150,14920
21,bus151,7815
21,bus160,19126
21,bus710,5701
22,New1,24846
22,bus103,3870
22,bus106,3317
22,bus107,4141
22,bus109,3472
22,bus140,8965
22,bus150,14095
22,bus151,7280
22,bus160,17974
22,bus710,5294
23,New1,9403
23,bus103,1408
23,bus106,3066
23,bus107,2973
23,bus109,1182
23,bus140,1987
23,bus150,2626
23,bus151,2162
23,bus160,3575
23,bus710,798
