bus,ARS,ID,station,lng,lat
140,10340,109000406,도봉산역광역환승센터,127.0443587,37.68994699
140,10001,109000001,도봉산역,127.0454322,37.68919475
140,10003,109000003,도봉한신아파트,127.0459186,37.68405224
140,10005,109000005,서울북부지방법원.검찰청.도봉역성황당,127.0449149,37.67772909
140,10007,109000007,신도봉사거리,127.0441345,37.67329071
140,10019,109000019,신도봉시장.도봉구청.방학북부역,127.0435791,37.66999866
140,10009,109000009,도봉소방서.방학남부역,127.0429434,37.66633771
140,10011,109000011,도봉보건소,127.040748,37.65894194
140,10013,109000013,도봉구민회관,127.0381547,37.65456682
140,10015,109000015,쌍문역,127.0347521,37.64882356
140,10017,109000017,우이1교앞,127.0326524,37.64529302
140,9001,108000001,수유3동우체국,127.0290061,37.64126603
140,9013,108000378,수유(강북구청)역,127.0260369,37.63852004
140,9003,108000003,수유역,127.0240534,37.63670243
140,9005,108000005,수유시장.성신여대미아캠퍼스앞,127.0241828,37.63122907
140,9007,108000007,미아역.신일중고,127.0266556,37.62487126
140,9009,108000009,도봉세무서.성북시장,127.0287005,37.61970957
140,9011,108000011,미아사거리역,127.0300023,37.61376514
140,8001,107000001,월곡뉴타운,127.028232,37.60688977
140,8003,107000003,길음뉴타운,127.0241845,37.60360938
140,8005,107000005,미아리고개.미아리예술극장,127.0216801,37.5988125
140,8007,107000007,돈암사거리.성신여대입구,127.018087,37.59377511
140,8009,107000009,삼선교.한성대학교,127.0092102,37.58988342
140,1005,100000005,혜화동로터리.여운형활동터,127.0016943,37.58622998
140,1003,100000003,명륜3가.성대입구,126.9982902,37.58270882
140,1002,100000002,창경궁.서울대학교병원,126.9965202,37.57917886
140,1198,100000102,원남동,126.9973383,37.57453251
140,1247,100000151,광장시장,126.9978384,37.56950211
140,2164,101000065,중구청앞.덕수중학교,126.9982285,37.56477911
140,2154,101000055,충무로역8번출구.대한극장앞,126.9965752,37.56187249
140,2151,101000052,퇴계로3가.한옥마을.한국의집,126.991731,37.56113348
140,2289,101000328,남산1호터널,126.9922686,37.55741998
140,3165,102000071,순천향대학병원.한남오거리,127.006068,37.535247
140,22015,121000015,신사역.푸른저축은행,127.019844,37.514627
140,22013,121000013,논현역,127.0230119,37.50722032
140,22011,121000011,지하철2호선강남역,127.0257283,37.50160933
140,22009,121000009,신분당선강남역,127.0283494,37.49602648
140,22007,121000007,래미안아파트.파이낸셜뉴스(중),127.0303402,37.49182345
140,22005,121000005,뱅뱅사거리,127.0323669,37.48759241
140,22003,121000003,양재역.서초문화예술회관,127.0358473,37.48252188
140,22001,121000001,교육개발원입구,127.0383424,37.47851383
140,22294,121000218,시민의숲,127.038365,37.473713
140,22298,121000222,AT센터.양재꽃시장,127.039557,37.468533
