time,bus,passenger
0,New406,2209
0,bus143,0
0,bus400,10
0,bus401,3
0,bus402,1587
0,bus405,0
0,bus406,128
0,bus420,165
0,bus421,1
1,New406,148
1,bus143,0
1,bus400,0
1,bus401,0
1,bus402,76
1,bus405,0
1,bus406,0
1,bus420,0
1,bus421,0
2,New406,3
2,bus143,0
2,bus400,0
2,bus401,0
2,bus402,0
2,bus405,0
2,bus406,0
2,bus420,0
2,bus421,0
3,New406,0
3,bus143,0
3,bus400,0
3,bus401,0
3,bus402,0
3,bus405,0
3,bus406,0
3,bus420,0
3,bus421,0
4,New406,2871
4,bus143,8321
4,bus400,622
4,bus401,1582
4,bus402,1114
4,bus405,539
4,bus406,987
4,bus420,2520
4,bus421,3332
5,New406,5126
5,bus143,10960
5,bus400,2164
5,bus401,2602
5,bus402,2383
5,bus405,2072
5,bus406,1433
5,bus420,6897
5,bus421,6678
6,New406,13634
6,bus143,14727
6,bus400,4183
6,bus401,4457
6,bus402,5680
6,bus405,3064
6,bus406,3208
6,bus420,7297
6,bus421,8626
7,New406,37779
7,bus143,33972
7,bus400,11315
7,bus401,12830
7,bus402,14739
7,bus405,6525
7,bus406,9119
7,bus420,19265
7,bus421,20383
8,New406,50147
8,bus143,43701
8,bus400,16539
8,bus401,15408
8,bus402,17003
8,bus405,9927
8,bus406,9589
8,bus420,24540
8,bus421,27221
9,New406,33219
9,bus143,29441
9,bus400,11578
9,bus401,9729
9,bus402,14148
9,bus405,6346
9,bus406,5361
9,bus420,16828
9,bus421,15845
10,New406,23040
10,bus143,20222
10,bus400,8068
10,bus401,6622
10,bus402,11152
10,bus405,4838
10,bus406,4934
10,bus420,13244
10,bus421,13029
11,New406,23180
11,bus143,20753
11,bus400,9228
11,bus401,7296
11,bus402,11366
11,bus405,5428
11,bus406,4899
11,bus420,13999
11,bus421,14067
12,New406,27102
12,bus143,26102
12,bus400,10896
12,bus401,7720
12,bus402,12473
12,bus405,6011
12,bus406,5523
12,bus420,15892
12,bus421,17231
13,New406,28258
13,bus143,27037
13,bus400,11395
13,bus401,7921
13,bus402,12768
13,bus405,6351
13,bus406,6177
13,bus420,16296
13,bus421,17581
14,New406,28966
14,bus143,26716
14,bus400,11084
14,bus401,8056
14,bus402,12881
14,bus405,6627
14,bus406,6019
14,bus420,16226
14,bus421,16832
15,New406,33855
15,bus143,26655
15,bus400,11452
15,bus401,9062
15,bus402,13547
15,bus405,6545
15,bus406,6082
15,bus420,17912
15,bus421,19295
16,New406,40280
16,bus143,31087
16,bus400,13709
16,bus401,9928
16,bus402,15516
16,bus405,7422
16,bus406,7424
16,bus420,22236
16,bus421,21632
17,New406,44861
17,bus143,33363
17,bus400,16384
17,bus401,10915
17,bus402,17266
17,bus405,7615
17,bus406,7873
17,bus420,27453
17,bus421,23445
18,New406,52764
18,bus143,38923
18,bus400,19586
18,bus401,14036
18,bus402,20572
18,bus405,8570
18,bus406,9163
18,bus420,30604
18,bus421,27453
19,New406,35981
19,bus143,26502
19,bus400,12440
19,bus401,8500
19,bus402,13844
19,bus405,4866
19,bus406,5298
19,bus420,20482
19,bus421,18930
20,New406,28458
20,bus143,18686
20,bus400,8386
20,bus401,5620
20,bus402,9253
20,bus405,3583
20,bus406,3394
20,bus420,14374
20,bus421,14240
21,New406,26189
21,bus143,17381
21,bus400,7923
21,bus401,5539
21,bus402,8756
21,bus405,3646
21,bus406,3584
21,bus420,15306
21,bus421,15899
22,New406,23447
22,bus143,15533
22,bus400,8080
22,bus401,5029
22,bus402,9205
22,bus405,3935
22,bus406,3158
22,bus420,15614
22,bus421,16610
23,New406,6788
23,bus143,1004
23,bus400,1156
23,bus401,875
23,bus402,2912
23,bus405,690
23,bus406,953
23,bus420,3826
23,bus421,1599
